,MARS,known_types,seq_batch,seq_depth,Rh50,Fs,heph
ORNcell_24h_ElavCD8GFP_P3_O20,0,DA1,Plate #7,1306122,0,0,4.560427
ORNcell_24h_ElavCD8GFP_P3_B4,0,DA1,Plate #3,852334,0,0,0
ORNcell_24h_ElavCD8GFP_P1_A17,0,DA1,Plate #1,189544,0,0,0
ORNcell_24h_ElavCD8GFP_P7_A302,0,DA1,Plate #1,899497,0,0,9.169282
ORNcell_24h_ElavCD8GFP_P4_A271,0,DA1,Plate #3,927011,0,0,0
ORNcell_24h_ElavCD8GFP_P2_C17,0,DA1,Plate #5,1278406,0,0,0
ORNcell_24h_ElavCD8GFP_P1_M3,0,DA1,Plate #4,67469,0,0,0
ORNcell_24h_ElavCD8GFP_P2_A1,0,DA1,Plate #5,2280766,0,0,0
ORNcell_24h_ElavCD8GFP_P2_C4,0,DA1,Plate #7,579204,0,0,1.2220595
ORNcell_24h_ElavCD8GFP_P1_L24,0,DA1,Plate #6,293135,0,0,5.065448
ORNcell_24h_ElavCD8GFP_P2_P8,0,DA1,Plate #3,326162,0,0,0
ORNcell_24h_ElavCD8GFP_P7_A52,0,DA1,Plate #2,319493,0,0,0
ORNcell_24h_ElavCD8GFP_P4_A61,0,DA1,Plate #1,213562,0,0,9.25834
ORNcell_24h_ElavCD8GFP_P3_C18,0,DA1,Plate #1,1256512,0,0,9.543402
ORNcell_24h_ElavCD8GFP_P5_A104,0,DA1,Plate #4,1052534,0,0,11.349109
ORNcell_24h_ElavCD8GFP_P2_B21,0,DA1,Plate #7,318800,0,0,10.857837
ORNcell_24h_ElavCD8GFP_P1_C4,0,DA1,Plate #1,447431,0,0,5.6004624
ORNcell_24h_ElavCD8GFP_P5_A225,0,DA1,Plate #1,870252,0,4.8946686,7.438638
ORNcell_24h_ElavCD8GFP_P4_A138,0,DA1,Plate #3,680998,0,0,0
ORNcell_24h_ElavCD8GFP_P4_A46,0,DA1,Plate #1,139917,0,0,9.594095
ORNcell_24h_ElavCD8GFP_P6_A2,0,DA1,Plate #2,560498,0,0,0
ORNcell_24h_ElavCD8GFP_P7_A73,0,DA1,Plate #3,921729,0,0,0
ORNcell_24h_ElavCD8GFP_P7_A157,0,DA1,Plate #4,768592,0,0,0
ORNcell_24h_ElavCD8GFP_P2_L22,0,DA1,Plate #7,1569444,0,0,6.8147264
ORNcell_24h_ElavCD8GFP_P2_F23,0,DA1,Plate #1,198713,0,0,2.4783201
ORNcell_24h_ElavCD8GFP_P6_A173,0,DA1,Plate #4,338459,0,0,0
ORNcell_24h_ElavCD8GFP_P4_A250,1,VA2,Plate #2,752939,0,0,9.909398
ORNcell_24h_ElavCD8GFP_P2_O2,1,VA2,Plate #2,131147,0,0,0
ORNcell_24h_ElavCD8GFP_P3_B15,1,VA2,Plate #2,1488549,0,0,7.695516
ORNcell_24h_ElavCD8GFP_P6_A247,1,NaN,Plate #1,742088,0,0,7.57823
ORNcell_24h_ElavCD8GFP_P1_O6,1,VA2,Plate #5,754265,0,0,8.413418
ORNcell_24h_ElavCD8GFP_P3_M8,1,VA2,Plate #2,51892,0,0,0
ORNcell_24h_ElavCD8GFP_P2_O13,1,NaN,Plate #3,687250,0,0,0
ORNcell_24h_ElavCD8GFP_P3_K9,1,VA2,Plate #3,1008706,0,0,9.672737
ORNcell_24h_ElavCD8GFP_P7_A278,1,VA2,Plate #2,352720,0,0,0
ORNcell_24h_ElavCD8GFP_P6_A219,1,VA2,Plate #2,417770,0,0,0
ORNcell_24h_ElavCD8GFP_P1_K6,1,VA2,Plate #3,1056262,0,0,0
ORNcell_24h_ElavCD8GFP_P1_D4,1,VA2,Plate #5,2198264,0,0,0
ORNcell_24h_ElavCD8GFP_P7_A18,1,VA2,Plate #7,1002416,0,0,11.608841
ORNcell_24h_ElavCD8GFP_P2_B12,1,VL1,Plate #4,1281606,0,0,0
ORNcell_24h_ElavCD8GFP_P2_M4,1,VA2,Plate #7,1362904,0,0,8.48019
ORNcell_24h_ElavCD8GFP_P4_A304,1,VA2,Plate #5,2148156,0,0,0
ORNcell_24h_ElavCD8GFP_P6_A339,1,VA2,Plate #5,959887,0,0,7.42676
ORNcell_24h_ElavCD8GFP_P3_E22,1,VA2,Plate #2,72685,0,0,12.239381
ORNcell_24h_ElavCD8GFP_P2_H7,1,VA2,Plate #5,1318276,0,0,11.250244
ORNcell_24h_ElavCD8GFP_P1_K1,1,NaN,Plate #6,2647905,0,0,0
ORNcell_24h_ElavCD8GFP_P7_A69,1,NaN,Plate #1,717636,0,0,7.9085155
ORNcell_24h_ElavCD8GFP_P6_A218,1,NaN,Plate #5,1671190,9.911493,0,0
ORNcell_24h_ElavCD8GFP_P3_O24,1,VA2,Plate #6,357743,0,0,9.737155
ORNcell_24h_ElavCD8GFP_P6_A279,1,NaN,Plate #2,245791,0,0,0
ORNcell_24h_ElavCD8GFP_P1_B23,1,VA2,Plate #4,1506136,0,0,8.865691
ORNcell_24h_ElavCD8GFP_P4_A153,1,NaN,Plate #3,1094818,0,0,0
ORNcell_24h_ElavCD8GFP_P1_J8,1,NaN,Plate #1,322548,0,0,9.733958
ORNcell_24h_ElavCD8GFP_P3_N23,1,VA2,Plate #1,632072,0,0,7.802175
ORNcell_24h_ElavCD8GFP_P6_A146,1,VA2,Plate #4,959094,0,0,0
ORNcell_24h_ElavCD8GFP_P3_B20,2,VL1,Plate #1,787719,0,0,10.90262
ORNcell_24h_ElavCD8GFP_P5_A56,2,NaN,Plate #6,1061397,0,0,8.229691
ORNcell_24h_ElavCD8GFP_P4_A296,2,NaN,Plate #1,611360,0,0,0
ORNcell_24h_ElavCD8GFP_P7_A193,2,VL1,Plate #2,83035,0,0,0
ORNcell_24h_ElavCD8GFP_P4_A145,2,VL1,Plate #7,848608,0,0,10.122147
ORNcell_24h_ElavCD8GFP_P7_A116,2,NaN,Plate #4,176050,0,0,0
ORNcell_24h_ElavCD8GFP_P1_L9,2,VL1,Plate #3,168395,0,0,12.081267
ORNcell_24h_ElavCD8GFP_P7_A259,2,VL1,Plate #7,640149,0,0,7.7861657
ORNcell_24h_ElavCD8GFP_P1_K3,2,VL1,Plate #7,185880,0,0,11.073381
ORNcell_24h_ElavCD8GFP_P2_H17,2,VL1,Plate #2,442844,0,0,0
ORNcell_24h_ElavCD8GFP_P1_B18,2,VL1,Plate #1,293426,0,0,0
ORNcell_24h_ElavCD8GFP_P4_A56,2,VL1,Plate #4,118443,0,0,8.751264
ORNcell_24h_ElavCD8GFP_P3_M18,2,VL1,Plate #7,1499163,0,0,0
ORNcell_24h_ElavCD8GFP_P3_B2,2,VL1,Plate #2,519482,0,0,9.313214
ORNcell_24h_ElavCD8GFP_P1_F16,2,VL1,Plate #4,893790,0,9.547719,10.972507
ORNcell_24h_ElavCD8GFP_P6_A215,2,VL1,Plate #1,1100824,0,0,0
ORNcell_24h_ElavCD8GFP_P6_A81,2,VL1,Plate #4,888460,0,0,0
ORNcell_24h_ElavCD8GFP_P1_A6,2,VL1,Plate #1,696085,0,0,11.46885
ORNcell_24h_ElavCD8GFP_P2_N8,2,VL1,Plate #1,132964,0,8.312654,0
ORNcell_24h_ElavCD8GFP_P5_A342,2,NaN,Plate #1,377766,0,0,11.035665
ORNcell_24h_ElavCD8GFP_P1_N5,2,VL1,Plate #6,1619070,0,0,6.485966
ORNcell_24h_ElavCD8GFP_P1_E19,2,VL1,Plate #6,315695,0,0,8.887187
ORNcell_24h_ElavCD8GFP_P4_A311,2,VL1,Plate #4,1348092,0,0,10.009109
ORNcell_24h_ElavCD8GFP_P7_A290,3,DL3,Plate #1,98336,0,0,0
ORNcell_24h_ElavCD8GFP_P6_A358,3,DL3,Plate #1,380297,0,0,3.275051
