library,color,genotype ,label
DA1,#2989b7,Elav_24h_ORN,Elav_24h_ORN
VA2,#edff6f,Elav_24h_ORN,Elav_24h_ORN
DM1,#edff6f,Elav_24h_ORN,Elav_24h_ORN
DL3,#2989b7,Elav_24h_ORN,Elav_24h_ORN
DA4l,#2989b7,Elav_24h_ORN,Elav_24h_ORN
VM4,#ea67fe,Elav_24h_ORN,Elav_24h_ORN
DM3,#abff5a,Elav_24h_ORN,Elav_24h_ORN
DM4,#edff6f,Elav_24h_ORN,Elav_24h_ORN
VL2a,#ea67fe,Elav_24h_ORN,Elav_24h_ORN
DP1l,#ea67fe,Elav_24h_ORN,Elav_24h_ORN
V,#edff6f,Elav_24h_ORN,Elav_24h_ORN
VA1v,#2989b7,Elav_24h_ORN,Elav_24h_ORN
VA1d,#2989b7,Elav_24h_ORN,Elav_24h_ORN
VC3,#ea67fe,Elav_24h_ORN,Elav_24h_ORN
VL1,#ea67fe,Elav_24h_ORN,Elav_24h_ORN
DL4,#abff5a,Elav_24h_ORN,Elav_24h_ORN
DL5,#abff5a,Elav_24h_ORN,Elav_24h_ORN
DC3,#2989b7,Elav_24h_ORN,Elav_24h_ORN
VM3,#abff5a,Elav_24h_ORN,Elav_24h_ORN
DM2,#edff6f,Elav_24h_ORN,Elav_24h_ORN
