library,color,genotype,label
V,#edff6f,nSyb_adult,nSyb_adult
DM4,#edff6f,nSyb_adult,nSyb_adult
DM2,#edff6f,nSyb_adult,nSyb_adult
DM1,#edff6f,nSyb_adult,nSyb_adult
VA2,#edff6f,nSyb_adult,nSyb_adult
DC2,#abff5a,nSyb_adult,nSyb_adult
D,#abff5a,nSyb_adult,nSyb_adult
VM3_VA5,#abff5a,nSyb_adult,nSyb_adult
DL5,#abff5a,nSyb_adult,nSyb_adult
VA1v,#2989b7,nSyb_adult,nSyb_adult
DA1,#2989b7,nSyb_adult,nSyb_adult
DL3,#2989b7,nSyb_adult,nSyb_adult
VA1d,#2989b7,nSyb_adult,nSyb_adult
VP1l_VP3,#e69fff,nSyb_adult,nSyb_adult
DP1m_DC4,#e69fff,nSyb_adult,nSyb_adult
VP4_VP1d_VP2,#e69fff,nSyb_adult,nSyb_adult
DL2d/v_DP1l_VC3l,#ea67fe,nSyb_adult,nSyb_adult
VL1_VM1,#ea67fe,nSyb_adult,nSyb_adult
DC1,#2989b7,nSyb_adult,nSyb_adult
